path,name,parent_path,node_type,file_type,category,purpose,defines,execution_role,used_by,depends_on,inputs,outputs,side_effects,env_config_requirements,related_files,doc_role,doc_content_summary,doc_purpose,doc_discusses,doc_references,doc_time_horizon,doc_style,doc_apparent_overlap,doc_status_signals,doc_decision_support_notes,confidence,excluded_reason
fight-caves-RL/.github/workflows/phase0_native_linux_pre_phase1_baseline.yml,phase0_native_linux_pre_phase1_baseline.yml,fight-caves-RL/.github/workflows,file,YAML,tooling,YML configuration or data file for the enclosing module.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/workflows/phase1_native_linux_packet.yml,phase1_native_linux_packet.yml,fight-caves-RL/.github/workflows,file,YAML,tooling,YML configuration or data file for the enclosing module.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/workflows/phase2_native_linux_packet.yml,phase2_native_linux_packet.yml,fight-caves-RL/.github/workflows,file,YAML,tooling,YML configuration or data file for the enclosing module.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/workflows/phase2_native_linux_train_ceiling.yml,phase2_native_linux_train_ceiling.yml,fight-caves-RL/.github/workflows,file,YAML,tooling,YML configuration or data file for the enclosing module.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/workflows/phase2_prototype_native_linux_packet.yml,phase2_prototype_native_linux_packet.yml,fight-caves-RL/.github/workflows,file,YAML,tooling,YML configuration or data file for the enclosing module.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/workflows/qodana_code_quality.yml,qodana_code_quality.yml,fight-caves-RL/.github/workflows,file,YAML,tooling,YML configuration or data file for the enclosing module.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/workflows/test-with-coverage.yml,test-with-coverage.yml,fight-caves-RL/.github/workflows,file,YAML,tooling,YML configuration or data file for the enclosing module.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.gitignore,.gitignore,fight-caves-RL,file,File,unknown,Repository metadata or ignore configuration file.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.run,.run,fight-caves-RL,directory,Directory,tooling,IDE run-configuration directory tracked for local launch setup.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/.run/Void.run.xml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.run/Void.run.xml,Void.run.xml,fight-caves-RL/.run,file,XML,tooling,XML configuration or data file for the enclosing module.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,fight-caves-RL,file,Markdown doc,docs,Community participation standards and enforcement guidelines for the repository.,Not applicable,documentation only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,documentation,CODE_OF_CONDUCT.md,Community participation standards and enforcement guidelines for the repository.,CODE_OF_CONDUCT.md,Not applicable,Not applicable,markdown narrative,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/CONTRIBUTING.md,CONTRIBUTING.md,fight-caves-RL,file,Markdown doc,docs,Contribution and collaboration guide for the repository.,Not applicable,documentation only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,documentation,CONTRIBUTING.md,Contribution and collaboration guide for the repository.,CONTRIBUTING.md,Not applicable,Not applicable,markdown narrative,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/Dockerfile,Dockerfile,fight-caves-RL,file,Script/other,config,Container build recipe for packaging the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/FCplan.md,FCplan.md,fight-caves-RL,file,Markdown doc,docs,Markdown planning document for the Fight Caves simulator repository.,Not applicable,documentation only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,documentation,FCplan.md,Markdown planning document for the Fight Caves simulator repository.,FCplan.md,Not applicable,Not applicable,markdown narrative,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/FCspec.md,FCspec.md,fight-caves-RL,file,Markdown doc,docs,Markdown specification document describing the Fight Caves simulator/oracle-adjacent module scope or contract.,Not applicable,documentation only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,documentation,FCspec.md,Markdown specification document describing the Fight Caves simulator/oracle-adjacent module scope or contract.,FCspec.md,Not applicable,Not applicable,markdown narrative,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/LICENSE,LICENSE,fight-caves-RL,file,File,unknown,Repository license text.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/README.md,README.md,fight-caves-RL,file,Markdown doc,docs,Project overview and setup guide for the enclosing module.,What This Project Is,documentation only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,documentation,What This Project Is,Project overview and setup guide for the enclosing module.,What This Project Is,Not applicable,Not applicable,markdown narrative,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/assets,assets,fight-caves-RL,directory,Directory,artifacts,Asset directory containing images or text resources used by the module or docs.,Not applicable,artifact,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/assets/fight-caves-header.png,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/assets/fight-caves-header.png,fight-caves-header.png,fight-caves-RL/assets,file,Image,artifacts,Static image asset used by the module or docs.,Unknown,artifact,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer,buffer,fight-caves-RL,directory,Directory,bridge,Gradle module containing byte-array and buffer read/write utilities used by cache and network code.,Not applicable,support utility,Unknown,Kotlin stdlib; JUnit,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/buffer/build.gradle.kts,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/build.gradle.kts,build.gradle.kts,fight-caves-RL/buffer,file,Kotlin,config,Gradle build configuration for the enclosing module.,Unknown,config only,Unknown,Kotlin stdlib; JUnit,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src,src,fight-caves-RL/buffer,directory,Directory,bridge,Source root for the enclosing module.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main,main,fight-caves-RL/buffer/src,directory,Directory,bridge,Main source-set root for the enclosing module.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin,kotlin,fight-caves-RL/buffer/src/main,directory,Directory,bridge,Kotlin source tree for the enclosing module.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world,world,fight-caves-RL/buffer/src/main/kotlin,directory,Directory,bridge,Contains main-source files or resources for fight-caves-RL/buffer/src/main/kotlin.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world/gregs,gregs,fight-caves-RL/buffer/src/main/kotlin/world,directory,Directory,bridge,Contains main-source files or resources for fight-caves-RL/buffer/src/main/kotlin/world.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps,voidps,fight-caves-RL/buffer/src/main/kotlin/world/gregs,directory,Directory,bridge,Contains main-source files or resources for fight-caves-RL/buffer/src/main/kotlin/world/gregs.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer,buffer,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps,directory,Directory,bridge,Gradle module containing byte-array and buffer read/write utilities used by cache and network code.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/Unicode.kt,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/Unicode.kt,Unicode.kt,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer,file,Kotlin,bridge,Kotlin source file under the enclosing module.,Unicode; byteToChar; charToByte,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/read,read,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer,directory,Directory,bridge,Contains main-source files or resources for fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/read/ArrayReader.kt; fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/read/BufferReader.kt; fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/read/Reader.kt,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/read/ArrayReader.kt,ArrayReader.kt,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/read,file,Kotlin,bridge,Kotlin source file under the enclosing module.,ArrayReader; set; peek; readByte; readString; readBytes,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/read/BufferReader.kt,BufferReader.kt,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/read,file,Kotlin,bridge,Kotlin source file under the enclosing module.,BufferReader; peek; readByte; readString; readBytes; readBytes,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/read/Reader.kt,Reader.kt,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/read,file,Kotlin,bridge,Kotlin source file under the enclosing module.,Reader; readBoolean; readBooleanAdd; readBooleanInverse; readBooleanSubtract; readUnsignedBoolean,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/write,write,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer,directory,Directory,bridge,Contains main-source files or resources for fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/write/ArrayWriter.kt; fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/write/BufferWriter.kt; fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/write/Writer.kt,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/write/ArrayWriter.kt,ArrayWriter.kt,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/write,file,Kotlin,bridge,Kotlin source file under the enclosing module.,ArrayWriter; writeByte; setByte; writeBytes; writeBytes; writeBytes,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/write/BufferWriter.kt,BufferWriter.kt,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/write,file,Kotlin,bridge,Kotlin source file under the enclosing module.,BufferWriter; writeByte; setByte; writeBytes; writeBytes; writeBytes,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/write/Writer.kt,Writer.kt,fight-caves-RL/buffer/src/main/kotlin/world/gregs/voidps/buffer/write,file,Kotlin,bridge,Kotlin source file under the enclosing module.,Writer; setByte; writeByte; writeByte; writeByteAdd; writeByteInverse,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test,test,fight-caves-RL/buffer/src,directory,Directory,tests,Test source-set root for the enclosing module.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin,kotlin,fight-caves-RL/buffer/src/test,directory,Directory,tests,Kotlin source tree for the enclosing module.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin/world,world,fight-caves-RL/buffer/src/test/kotlin,directory,Directory,tests,Contains test sources or resources for fight-caves-RL/buffer/src/test/kotlin.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin/world/gregs,gregs,fight-caves-RL/buffer/src/test/kotlin/world,directory,Directory,tests,Contains test sources or resources for fight-caves-RL/buffer/src/test/kotlin/world.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps,voidps,fight-caves-RL/buffer/src/test/kotlin/world/gregs,directory,Directory,tests,Contains test sources or resources for fight-caves-RL/buffer/src/test/kotlin/world/gregs.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer,buffer,fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps,directory,Directory,tests,Gradle module containing byte-array and buffer read/write utilities used by cache and network code.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/UnicodeTest.kt,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/UnicodeTest.kt,UnicodeTest.kt,fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer,file,Kotlin,tests,Test source file for the enclosing module.,UnicodeTest,test,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/read,read,fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer,directory,Directory,tests,Contains test sources or resources for fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/read/ArrayReaderTest.kt; fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/read/BufferReaderTest.kt; fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/read/ReaderTest.kt,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/read/ArrayReaderTest.kt,ArrayReaderTest.kt,fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/read,file,Kotlin,tests,Test source file for the enclosing module.,ArrayReaderTest; packet,test,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/read/BufferReaderTest.kt,BufferReaderTest.kt,fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/read,file,Kotlin,tests,Test source file for the enclosing module.,BufferReaderTest; packet,test,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/read/ReaderTest.kt,ReaderTest.kt,fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/read,file,Kotlin,tests,Test source file for the enclosing module.,ReaderTest; packet,test,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/write,write,fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer,directory,Directory,tests,Contains test sources or resources for fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/write/ArrayWriterTest.kt; fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/write/BufferWriterTest.kt; fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/write/WriterTest.kt,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/write/ArrayWriterTest.kt,ArrayWriterTest.kt,fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/write,file,Kotlin,tests,Test source file for the enclosing module.,ArrayWriterTest; writer,test,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/write/BufferWriterTest.kt,BufferWriterTest.kt,fight-caves-RL/buffer/src/test/kotlin/world/gregs/voidps/buffer/write,file,Kotlin,tests,Test source file for the enclosing module.,BufferWriterTest; writer,test,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
