path,type,category,purpose,confidence
RL/fight_caves_rl/benchmarks/phase1_packet.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
RL/fight_caves_rl/benchmarks/phase2_packet.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
RL/fight_caves_rl/benchmarks/phase2_prototype_packet.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
RL/fight_caves_rl/benchmarks/subprocess_transport_bench.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
RL/fight_caves_rl/benchmarks/train_bench.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
RL/fight_caves_rl/benchmarks/train_ceiling_bench.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
RL/fight_caves_rl/benchmarks/vector_env_bench.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
RL/fight_caves_rl/bridge,Directory,bridge,"Python bridge client, protocol, buffers, and launcher code for simulator or oracle communication.",Confirmed
RL/fight_caves_rl/bridge/__init__.py,File,bridge,"Bridge implementation file for client protocol, buffers, launcher, or tracing.",Confirmed
RL/fight_caves_rl/bridge/batch_client.py,File,bridge,"Bridge implementation file for client protocol, buffers, launcher, or tracing.",Confirmed
RL/fight_caves_rl/bridge/buffers.py,File,bridge,"Bridge implementation file for client protocol, buffers, launcher, or tracing.",Confirmed
RL/fight_caves_rl/bridge/contracts.py,File,bridge,"Bridge implementation file for client protocol, buffers, launcher, or tracing.",Confirmed
RL/fight_caves_rl/bridge/debug_client.py,File,bridge,"Bridge implementation file for client protocol, buffers, launcher, or tracing.",Confirmed
RL/fight_caves_rl/bridge/errors.py,File,bridge,"Bridge implementation file for client protocol, buffers, launcher, or tracing.",Confirmed
RL/fight_caves_rl/bridge/launcher.py,File,bridge,"Bridge implementation file for client protocol, buffers, launcher, or tracing.",Confirmed
RL/fight_caves_rl/bridge/protocol.py,File,bridge,"Bridge implementation file for client protocol, buffers, launcher, or tracing.",Confirmed
RL/fight_caves_rl/contracts,Directory,contracts,"Frozen RL-facing mechanics, terminal, reward, and parity contracts.",Confirmed
RL/fight_caves_rl/contracts/__init__.py,File,contracts,"Contract definition file freezing RL-facing mechanics surfaces.",Confirmed
RL/fight_caves_rl/contracts/mechanics_contract.py,File,contracts,"Contract definition file freezing RL-facing mechanics surfaces.",Confirmed
RL/fight_caves_rl/contracts/parity_trace_schema.py,File,contracts,"Contract definition file freezing RL-facing mechanics surfaces.",Confirmed
RL/fight_caves_rl/contracts/reward_feature_schema.py,File,contracts,"Contract definition file freezing RL-facing mechanics surfaces.",Confirmed
RL/fight_caves_rl/contracts/terminal_codes.py,File,contracts,"Contract definition file freezing RL-facing mechanics surfaces.",Confirmed
RL/fight_caves_rl/curriculum,Directory,curriculum,"Curriculum definitions and loaders for staged Fight Caves training.",Confirmed
RL/fight_caves_rl/curriculum/__init__.py,File,curriculum,"Curriculum implementation file for staged training progression.",Confirmed
RL/fight_caves_rl/curriculum/curriculum_disabled_v0.py,File,curriculum,"Curriculum implementation file for staged training progression.",Confirmed
RL/fight_caves_rl/curriculum/curriculum_wave_progression_v0.py,File,curriculum,"Curriculum implementation file for staged training progression.",Confirmed
RL/fight_caves_rl/curriculum/registry.py,File,curriculum,"Curriculum implementation file for staged training progression.",Confirmed
RL/fight_caves_rl/envs,Directory,environment,"V1 bridge-backed environment implementations and observation and action schema logic.",Confirmed
RL/fight_caves_rl/envs/__init__.py,File,environment,"Bridge-backed environment implementation file for v1_bridge semantics.",Confirmed
RL/fight_caves_rl/envs/action_mapping.py,File,environment,"Bridge-backed environment implementation file for v1_bridge semantics.",Confirmed
RL/fight_caves_rl/envs/correctness_env.py,File,environment,"Bridge-backed environment implementation file for v1_bridge semantics.",Confirmed
RL/fight_caves_rl/envs/observation_mapping.py,File,environment,"Bridge-backed environment implementation file for v1_bridge semantics.",Confirmed
RL/fight_caves_rl/envs/observation_views.py,File,environment,"Bridge-backed environment implementation file for v1_bridge semantics.",Confirmed
RL/fight_caves_rl/envs/puffer_encoding.py,File,environment,"Bridge-backed environment implementation file for v1_bridge semantics.",Confirmed
RL/fight_caves_rl/envs/schema.py,File,environment,"Bridge-backed environment implementation file for v1_bridge semantics.",Confirmed
RL/fight_caves_rl/envs/shared_memory_transport.py,File,environment,"Bridge-backed environment implementation file for v1_bridge semantics.",Confirmed
RL/fight_caves_rl/envs/subprocess_vector_env.py,File,environment,"Bridge-backed environment implementation file for v1_bridge semantics.",Confirmed
RL/fight_caves_rl/envs/vector_env.py,File,environment,"Bridge-backed environment implementation file for v1_bridge semantics.",Confirmed
RL/fight_caves_rl/envs_fast,Directory,environment,"V2 fast-backend environment wrappers, encodings, and adapters.",Confirmed
RL/fight_caves_rl/envs_fast/__init__.py,File,environment,"Fast-backend environment implementation file for v2_fast.",Confirmed
RL/fight_caves_rl/envs_fast/fast_policy_encoding.py,File,environment,"Fast-backend environment implementation file for v2_fast.",Confirmed
RL/fight_caves_rl/envs_fast/fast_reward_adapter.py,File,environment,"Fast-backend environment implementation file for v2_fast.",Confirmed
RL/fight_caves_rl/envs_fast/fast_spaces.py,File,environment,"Fast-backend environment implementation file for v2_fast.",Confirmed
RL/fight_caves_rl/envs_fast/fast_trace_adapter.py,File,environment,"Fast-backend environment implementation file for v2_fast.",Confirmed
RL/fight_caves_rl/envs_fast/fast_vector_env.py,File,environment,"Fast-backend environment implementation file for v2_fast.",Confirmed
RL/fight_caves_rl/logging,Directory,logging,"RL-side logging helpers and structured run and report utilities.",Confirmed
RL/fight_caves_rl/logging/__init__.py,File,logging,"Logging helper or structured output implementation file.",Confirmed
RL/fight_caves_rl/logging/artifact_naming.py,File,logging,"Logging helper or structured output implementation file.",Confirmed
RL/fight_caves_rl/logging/metrics.py,File,logging,"Logging helper or structured output implementation file.",Confirmed
RL/fight_caves_rl/logging/wandb_client.py,File,logging,"Logging helper or structured output implementation file.",Confirmed
RL/fight_caves_rl/manifests,Directory,config,"Manifest and metadata helpers used across replay, runs, and evaluation.",Confirmed
RL/fight_caves_rl/manifests/__init__.py,File,config,"Manifest or metadata implementation file for runs, replay, or evaluation.",Confirmed
RL/fight_caves_rl/manifests/run_manifest.py,File,config,"Manifest or metadata implementation file for runs, replay, or evaluation.",Confirmed
RL/fight_caves_rl/manifests/versions.py,File,config,"Manifest or metadata implementation file for runs, replay, or evaluation.",Confirmed
RL/fight_caves_rl/policies,Directory,policy,"Policy definitions, recurrent models, registry helpers, and checkpointing.",Confirmed
RL/fight_caves_rl/policies/__init__.py,File,policy,"Policy model, registry, or checkpoint implementation file.",Confirmed
RL/fight_caves_rl/policies/checkpointing.py,File,policy,"Policy model, registry, or checkpoint implementation file.",Confirmed
RL/fight_caves_rl/policies/lstm.py,File,policy,"Policy model, registry, or checkpoint implementation file.",Confirmed
RL/fight_caves_rl/policies/mlp.py,File,policy,"Policy model, registry, or checkpoint implementation file.",Confirmed
RL/fight_caves_rl/policies/registry.py,File,policy,"Policy model, registry, or checkpoint implementation file.",Confirmed
RL/fight_caves_rl/puffer,Directory,training,"PufferLib and PuffeRL integration, trainer assembly, and environment factory wiring.",Confirmed
RL/fight_caves_rl/puffer/__init__.py,File,training,"PufferLib or PuffeRL trainer or factory integration file.",Confirmed
RL/fight_caves_rl/puffer/callbacks.py,File,training,"PufferLib or PuffeRL trainer or factory integration file.",Confirmed
RL/fight_caves_rl/puffer/factory.py,File,training,"PufferLib or PuffeRL trainer or factory integration file.",Confirmed
RL/fight_caves_rl/puffer/production_trainer.py,File,training,"PufferLib or PuffeRL trainer or factory integration file.",Confirmed
RL/fight_caves_rl/puffer/trainer.py,File,training,"PufferLib or PuffeRL trainer or factory integration file.",Confirmed
RL/fight_caves_rl/replay,Directory,replay,"Replay, parity, and evaluation pipeline helpers.",Confirmed
RL/fight_caves_rl/replay/__init__.py,File,replay,"Replay, parity, or evaluation implementation file.",Confirmed
RL/fight_caves_rl/replay/eval_runner.py,File,replay,"Replay, parity, or evaluation implementation file.",Confirmed
RL/fight_caves_rl/replay/mechanics_parity.py,File,replay,"Replay, parity, or evaluation implementation file.",Confirmed
RL/fight_caves_rl/replay/parity_canaries.py,File,replay,"Replay, parity, or evaluation implementation file.",Confirmed
RL/fight_caves_rl/replay/replay_export.py,File,replay,"Replay, parity, or evaluation implementation file.",Confirmed
RL/fight_caves_rl/replay/replay_index.py,File,replay,"Replay, parity, or evaluation implementation file.",Confirmed
RL/fight_caves_rl/replay/seed_packs.py,File,replay,"Replay, parity, or evaluation implementation file.",Confirmed
RL/fight_caves_rl/replay/trace_packs.py,File,replay,"Replay, parity, or evaluation implementation file.",Confirmed
RL/fight_caves_rl/rewards,Directory,rewards,"Reward registry and reward-function definitions.",Confirmed
RL/fight_caves_rl/rewards/__init__.py,File,rewards,"Reward implementation or registry file.",Confirmed
RL/fight_caves_rl/rewards/registry.py,File,rewards,"Reward implementation or registry file.",Confirmed
RL/fight_caves_rl/rewards/reward_shaped_v0.py,File,rewards,"Reward implementation or registry file.",Confirmed
RL/fight_caves_rl/rewards/reward_sparse_v0.py,File,rewards,"Reward implementation or registry file.",Confirmed
RL/fight_caves_rl/tests,Directory,tests,"Unit, smoke, integration, determinism, and performance test suites.",Confirmed
RL/fight_caves_rl/tests/conftest.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/determinism,Directory,tests,"Test subdirectory for RL validation coverage.",Confirmed
RL/fight_caves_rl/tests/determinism/test_deterministic_eval_same_checkpoint_same_seed_pack.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/determinism/test_fixed_seed_reset_reproducibility.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/determinism/test_replay_eval_equivalence.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/determinism/test_v2_fast_mechanics_trace_determinism.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/determinism/test_wrapper_vs_raw_sim_trajectory_agreement.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/integration,Directory,tests,"Test subdirectory for RL validation coverage.",Confirmed
RL/fight_caves_rl/tests/integration/test_bridge_batch_step_parity.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/integration/test_bridge_schema_fail_fast.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/integration/test_flat_observation_matches_raw_projection.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/integration/test_replay_generation_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/integration/test_replay_manifest_integrity.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/integration/test_v2_fast_matches_oracle_mechanics_trace.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/integration/test_wandb_offline_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/integration/test_wandb_run_manifest_completeness.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/integration/test_wrapper_reset_matches_sim_contract.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/integration/test_wrapper_step_matches_sim_trace.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/parity,Directory,tests,"Test subdirectory for RL validation coverage.",Confirmed
RL/fight_caves_rl/tests/parity/test_parity_canary_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/parity/test_replay_to_trace_equivalence_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/performance,Directory,tests,"Test subdirectory for RL validation coverage.",Confirmed
RL/fight_caves_rl/tests/performance/test_bridge_benchmark_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/performance/test_env_benchmark_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/performance/test_fast_benchmark_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/performance/test_subprocess_transport_benchmark_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/performance/test_train_benchmark_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/performance/test_train_ceiling_benchmark_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/performance/test_vecenv_benchmark_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke,Directory,tests,"Test subdirectory for RL validation coverage.",Confirmed
RL/fight_caves_rl/tests/smoke/_helpers.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_checkpoint_save_load_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_eval_loop_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_fast_eval_loop_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_fast_train_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_fast_vecenv_reset_step_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_long_run_vector_stability.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_mechanics_parity_trace_collection_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_multi_worker_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_puffer_smoke_train_loop.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_scripted_baseline_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_shared_memory_transport_train_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_train_reset_boundary_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/smoke/test_vecenv_reset_step_smoke.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/train,Directory,tests,"Test subdirectory for RL validation coverage.",Confirmed
RL/fight_caves_rl/tests/train/test_trainer_dashboard_control.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit,Directory,tests,"Test subdirectory for RL validation coverage.",Confirmed
RL/fight_caves_rl/tests/unit/test_action_schema_version_compatibility.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_artifact_naming_versioning.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_batch_client_batch_api.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_benchmark_common.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_benchmark_context.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_bridge_buffers.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_bridge_launcher_preflight.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_config_loader.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_contract_version_registry.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_curriculum_config_loading.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_episode_start_contract_registry.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_fast_policy_encoding.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_fast_reward_adapter.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_fast_trace_adapter.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_java_runtime.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_mechanics_parity_compare.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_observation_flattening_determinism.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_observation_views.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_official_benchmark_profile_registry.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_parity_trace_schema.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_phase0_packet_gate.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_phase1_packet_gate.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_phase2_packet_gate.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_phase2_prototype_packet_gate.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_policy_observation_encoding.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_policy_registry.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_production_trainer.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
